LL_CorpseOne	You stare at a blue rag. It's draped over the outline of a <i>someone</i>.	Tu fixes un chiffon bleu. Il est drapé sur la silhouette de <i>quelqu'un</i>.
LL_CorpseOne	Human. Male. Over forty.	Humain. Mâle. La quarantaine passée.
LL_CorpseOne	How is this guy sleeping down here?	Comment ce gars peut-il dormir ici ?
LL_CorpseOne	He's probably just very, very tired.	Il est sans doute très, très fatigué.
LL_CorpseOne	Are you simple? He's clearly faking it. Just a lazy guy.	Tu es simplet ? Il fait semblant. Juste un fainéant.
LL_CorpseOne	\"Sir, you can't sleep down here.\"	« Monsieur, vous ne pouvez pas dormir ici. »
LL_CorpseOne	\"Ah, I see. It must be normal to take naps down here.\"	« Ah, je vois. Ce doit être normal de faire la sieste ici. »
LL_CorpseOne	(Check under the rag.)	(Regarder sous le chiffon.)
LL_CorpseOne	E-Let him sleep. He must have had a rough day.	E-Le laisser dormir. Il a dû avoir une rude journée.
LL_CorpseOne	No response.	Aucune réponse.
LL_CorpseOne	Give it up. Nothing to gain here.	Laisse tomber. Rien à gagner ici.
LL_CorpseOne	He's too still to be alive.	Il est trop immobile pour être vivant.
LL_CorpseOne	Curious behavior to lie perfectly still under a blanket like this. Perhaps he requires assistance?	Comportement curieux que de rester parfaitement immobile sous une couverture ainsi. Peut-être a-t-il besoin d'aide ?
LL_CorpseOne	The goblin looks at you with a furrowed brow.	Le gobelin te regarde, le sourcil froncé.
LL_CorpseOne	\"Sir? Please don't ignore me.\"	« Monsieur ? Je vous en prie, ne m'ignorez pas. »
LL_CorpseOne	\"Come on, wake up.\"	« Allez, réveillez-vous. »
LL_CorpseOne	E-I should let him sleep. He must have had a rough day.	E-Je devrais le laisser dormir. Il a dû avoir une rude journée.
LL_CorpseOne	He nods and gives you a serious look.	Il acquiesce et te lance un regard sérieux.
LL_CorpseOne	\"<b>Sir</b>. The Cleric is talking to you.\"	« <b>Monsieur</b>. Le Clerc vous parle. »
LL_CorpseOne	\"Damn. You know, for an alive guy, he's very still, silent, and cold.\"	« Sapristi. Tu sais, pour un vivant, il est très immobile, silencieux, et froid. »
LL_CorpseOne	Silent treatment, huh?	Le traitement silencieux, hein ?
LL_CorpseOne	Funny.	Amusant.
LL_CorpseOne	Stop this idiotic behavior.	Cesse ce comportement idiot.
LL_CorpseOne	If you wish to commune with the corpse in any meaningful way, I suggest Speak with Dead.	Si tu souhaites communiquer avec le cadavre de manière significative, je suggère Communication avec les Morts.
