Despite the damp air, none of the books show signs of degradation.	Malgré l'air humide, aucun de ces livres ne montre le moindre signe d'usure.
Flasks and instruments, strewn about the chamber.	Des fioles et des instruments, éparpillés à travers la chambre.
The stone slabs are designed to slide along the iron beams. Interesting.	Les dalles de pierre sont conçues pour coulisser le long des poutres de fer. Intéressant.
Ouch. That hurt.	Aïe. Ça fait mal.
This stone slab has been refitted into a desk. Inventive.	Cette dalle de pierre a été réaménagée en bureau. Ingénieux.
Watch it!	Attention !
You could drink out of the bottles. You should not.	Tu pourrais boire à même ces bouteilles. Tu ne devrais pas.
Voices upstairs. And the smell of salt.	Des voix à l'étage. Et l'odeur du sel.
Piles of empty containers. You could move them with ease. Maybe.	Des piles de récipients vides. Tu pourrais les déplacer sans peine. Peut-être.
Divine protection under a stern gaze.	Une protection divine sous un regard sévère.
You kick the bottom of a crate. Your foot hurts.	Tu donnes un coup de pied dans le bas d'une caisse. Ton pied te fait mal.
Jor left his mark across the bands. Today it is a universal sign of magic.	Jor a laissé sa marque sur les anneaux. Aujourd'hui, c'est un signe universel de magie.
I'm sure this was a fun person once.	Je suis sûr que ce fut une personne amusante, jadis.
This guy... he just won't move!	Ce type... il ne veut tout simplement pas bouger !
Imported goods. The reciever is marked as 'HWBT'.	Marchandises importées. Le destinataire est indiqué comme « HWBT ».
You need to pray.	Tu as besoin de prier.
This one's labeled, 'MISC'.	Celui-ci porte l'étiquette « DIVERS ».
A place where DEATH ends.	Un lieu où la MORT s'achève.
A sealed vase. It's marked as 'organ disposal'.	Un vase scellé. Il porte la mention « élimination d'organes ».
A glow-glass. Very common magic item.	Un verre-lueur. Objet magique fort répandu.
A great mountain of apples.	Une grande montagne de pommes.
The air is cool in here. An esoteric effect.	L'air est frais ici. Un effet ésotérique.
The River calls to y o u.	La Rivière t'a p p e l l e.
"Cleric speak to master. Now!"	« Clerc parler au maître. Maintenant ! »
The Red Eye of Urth.	L'Œil Rouge d'Urth.
Nothing of interest back here.	Rien d'intéressant par ici.
Nature seeps through the cracks.	La nature s'infiltre par les fissures.
Old symbol of an old regime.	Vieux symbole d'un vieux régime.
The tall dwarven walls of Tolstad. An amazing feat of engineering.	Les hautes murailles naines de Tolstad. Une prouesse d'ingénierie stupéfiante.
Servants. You hear them talking about how much of a dick Darrow is.	Des serviteurs. Tu les entends dire à quel point Darrow est un connard.
The goblin grins at you.	Le gobelin te sourit de toutes ses dents.
"Welcome to the garden..."	« Bienvenue dans le jardin... »
A broken statue of a cat. Cute.	Une statue brisée représentant un chat. Mignon.
The roots go deeper than you can imagine...	Les racines s'enfoncent plus profond que tu ne saurais l'imaginer...
Bikes are cool. You should ride your bike more.	Les vélos, c'est chouette. Tu devrais faire du vélo plus souvent.
The Lady's apartments. Her favorites get to live above ground.	Les appartements de la Dame. Ses favoris ont le privilège de vivre à la surface.
These stones are older than your soul.	Ces pierres sont plus anciennes que ton âme.
The Goblin Garden is ahead. You feel it.	Le Jardin des Gobelins est droit devant. Tu le sens.
These walls are sturdy dwarven architecture. Modern. Late war period.	Ces murs relèvent de la solide architecture naine. Moderne. Fin de la période de guerre.
They are struggling after a terrible decision. How relatable.	Ils peinent après une terrible décision. Comme c'est familier.
The sacred river fights against red rocks.	La rivière sacrée lutte contre les roches rouges.
You can see the apartment from here, across the river.	D'ici, tu peux voir l'appartement, de l'autre côté de la rivière.
This is surely illegal.	C'est assurément illégal.
A corner of Norvik, still standing in the Gate Era.	Un coin de Norvik, encore debout à l'Ère de la Porte.
This takes gut.	Il faut du cran.
<i>O, those poor few dreams wrought in zeal and doubt...<i>	<i>Ô, ces quelques pauvres rêves forgés dans le zèle et le doute...<i>
What would happen if you jumped?	Que se passerait-il si tu sautais ?
The Great Perch of Norvik.	Le Grand Perchoir de Norvik.
A theatre fit for someone like you: a performer.	Un théâtre digne de quelqu'un comme toi : un artiste.
"Grab the Hammer! For a GREEN COAST! <shake>AZGALISM FOREVER</shake>!"	« Saisis le Marteau ! Pour une CÔTE VERTE ! <shake>L'AZGALISME POUR TOUJOURS</shake> ! »
It's a long drop.	La chute est longue.
By Urth, how did they get this wagon down the stairs?	Par Urth, comment ont-ils descendu ce chariot par les escaliers ?
Such a sneaky staircase. Nice find.	Un escalier bien dissimulé. Belle trouvaille.
You're going to retch.	Tu vas avoir un haut-le-cœur.
A musky smell eminates from this passage. Fungal?	Une odeur musquée émane de ce passage. Fongique ?
These railings follow the Safety Council's Standards of '22.	Ces rambardes respectent les Normes du Conseil de Sécurité de l'an 22.
There are no funds, nor focus, needed to restore these structures.	Il manque tant les fonds que l'attention nécessaires pour restaurer ces structures.
You should apologize for this.	Tu devrais t'excuser pour cela.
There is an esoteric effect in place here, stopping rainwater.	Un effet ésotérique est à l'œuvre ici, arrêtant l'eau de pluie.
This walkway does not follow the Safety Council's Standards of '22.	Cette passerelle ne respecte pas les Normes du Conseil de Sécurité de l'an 22.
The Halfway Bridge. It connects with The Palace, and the rest of southern Norvik.	Le Pont de Mi-Chemin. Il relie le Palais au reste du sud de Norvik.
"<i>Enclosed by the by, she keeps me back down...</i>"	« <i>Enclos par le passage, elle me retient là-dessous...</i> »
The Dwarf and Urthfolk - together.	Le Nain et l'Urthfolk — ensemble.
"No! No way. Not a chance, <i>dad</i>!"	« Non ! Pas question. Aucune chance, <i>papa</i> ! »
"Nope. Can't help from this side."	« Nan. Rien à faire de ce côté-ci. »
The name of the Tea Shop is illegible.	Le nom du Salon de Thé est illisible.
This road leads into central Tolstad. You have no business there.	Cette route mène au centre de Tolstad. Tu n'as rien à y faire.
The orc observes you with great interest.	L'orc t'observe avec grand intérêt.
This is beneath you. Get back on track.	C'est indigne de toi. Reprends le droit chemin.
"Enjoy yourself, Romulus! You'll get scraps later...!"	« Amuse-toi bien, Romulus ! Tu auras les restes plus tard...! »
The ridge is slippery. Careful!	La corniche est glissante. Prudence !
Chatter inside. An argument?	Des bavardages à l'intérieur. Une dispute ?
The mansion continues far and wide.	Le manoir s'étend loin et large.
The <i>boss</i>.	Le <i>patron</i>.
A cozy nook.	Un recoin douillet.
All you need. This... is all you need.	Tout ce qu'il te faut. Ceci... est tout ce qu'il te faut.
There is some type of god in the machine, surely.	Il y a quelque forme de dieu dans la machine, à coup sûr.
It reeks.	Ça empeste.
How the hell is this place still standing?	Comment diable cet endroit tient-il encore debout ?
Laughter and debate once filled these seats.	Rires et débats emplissaient jadis ces sièges.
It says, <i>Joanna, CEO. Maior quam ullus rex.</i>	On y lit : <i>Joanna, PDG. Maior quam ullus rex.</i>
Tripple D. The man, the myth, the lad-who-is-mad.	Triple D. L'homme, le mythe, le gars-qui-est-cinglé.
"That <i>son of a bitch</i>. He's got a whole HOARD back here!"	« Ce <i>fils de pute</i>. Il a tout un TRÉSOR planqué là-derrière ! »
The Drakeslayer! Such an artwork.	Le Tueur de Drakes ! Quelle œuvre d'art.
It collapsed decades ago.	Ça s'est effondré il y a des décennies.
